1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
1.0358,1.0365,1.0354,1.0318,1.0116,0.9762,1.0094,1.0094,1.0376,1.008,1.0058,1.0257,0.9878,0.9719,1.0094,1.039,1.0109,1.0094,1.0278,0.9888,0.9719,1.0455,1.0448,1.0116,0.9737,1.0325,1.0513,1.0361,0.9834,0.9647,1.017,0.965,0.9549,0.974,0.9488,0.9462,0.9394,0.9426,0.9488
1.0353,1.0357,1.0342,1.0313,1.0104,0.978,1.0115,1.0115,1.036,1.0101,1.0064,1.0245,0.9891,0.9743,1.0115,1.0371,1.0126,1.0097,1.0259,0.9891,0.974,1.0429,1.0429,1.0097,0.9754,1.031,1.0476,1.0324,0.9837,0.9664,1.0144,0.9664,0.9567,0.974,0.9498,0.9473,0.9408,0.9433,0.948
1.0358,1.0362,1.034,1.0311,1.0107,0.978,1.0111,1.0115,1.0365,1.01,1.0067,1.0245,0.9889,0.9744,1.0125,1.0373,1.0125,1.0096,1.0256,0.9889,0.9733,1.0427,1.0424,1.01,0.9754,1.0307,1.0475,1.0329,0.9838,0.9667,1.0147,0.966,0.9569,0.974,0.9503,0.9471,0.9405,0.9427,0.9478
1.0367,1.0359,1.0341,1.0315,1.0106,0.9784,1.0117,1.0117,1.0367,1.0095,1.0066,1.0246,0.989,0.974,1.0125,1.0374,1.0125,1.0095,1.026,0.989,0.9736,1.0429,1.0421,1.0103,0.9751,1.0308,1.0473,1.033,0.9839,0.9656,1.0147,0.966,0.9564,0.9736,0.9498,0.9476,0.9407,0.9429,0.948
1.0175,0.9297,0.9352,1.0282,1.0586,1.035,0.9923,0.9632,0.9324,0.9692,1.0031,1.0354,1.0219,1.0235,0.9963,1.0251,1.0027,0.9748,0.9424,0.978,1.0059,1.037,0.9516,0.9348,0.9939,1.0282,1.0231,0.958,0.9788,1.0055,1.043,1.0143,1.0211,1.0322,1.0239,1.0318,1.0298,1.0398,1.0514
1.0769,0.9718,0.9263,0.928,0.9749,1.0484,1.0418,0.9911,0.9333,0.9591,0.9617,0.942,1.0046,1.0532,0.9736,0.9263,0.9547,0.9587,0.9412,1.0059,1.0554,0.9118,0.9127,0.9788,1.0554,0.9263,0.907,0.9355,1.0191,1.072,0.967,1.0502,1.0917,1.034,1.0821,1.1132,1.1093,1.1338,1.1539
1.0742,0.9395,0.8735,0.8789,0.9644,1.0707,1.0354,0.9661,0.8855,0.9203,0.9269,0.9089,1.0061,1.0803,0.9412,0.8767,0.9148,0.9215,0.9077,1.0092,1.0858,0.8536,0.856,0.9778,1.0893,0.8724,0.8511,0.9067,1.0389,1.1201,0.9648,1.0949,1.1579,1.0707,1.1519,1.1997,1.1987,1.235,1.2653
1.0607,0.9223,0.8517,0.8594,0.9612,1.076,1.0214,0.9487,0.8648,0.9,0.9093,0.8964,1.0045,1.0863,0.922,0.855,0.8937,0.9034,0.8962,1.01,1.0939,0.8315,0.8367,0.9806,1.1014,0.8513,0.8345,0.9025,1.0493,1.14,0.9712,1.1145,1.1872,1.0895,1.1828,1.2376,1.2403,1.2816,1.3174
1.005,1.0256,1.035,1.0328,1.0133,0.9789,0.9923,1.0024,1.0343,1.0086,1.0068,1.027,0.9902,0.9746,1.0068,1.0372,1.0119,1.0097,1.0288,0.9902,0.9742,1.0455,1.0458,1.0126,0.9764,1.0328,1.052,1.0372,0.9855,0.9674,1.0187,0.967,0.9576,0.9757,0.9507,0.9486,0.941,0.9449,0.9497
1.0409,0.9594,0.9261,0.9288,0.9757,1.0497,1.0234,0.9822,0.9301,0.9594,0.9629,0.9437,1.0063,1.0554,0.9691,0.9253,0.9559,0.9594,0.9428,1.0076,1.058,0.913,0.9139,0.9813,1.058,0.9279,0.9082,0.9371,1.0212,1.0742,0.9691,1.0523,1.0944,1.0365,1.0847,1.1154,1.1119,1.1356,1.1557
0.9768,0.9894,0.9375,0.9387,0.9814,1.0518,1.0627,1.0049,0.9459,0.9689,0.971,0.9513,1.0108,1.0581,0.9856,0.9387,0.9655,0.9681,0.9509,1.0116,1.0606,0.9237,0.0925,0.9877,1.0623,0.9387,0.9195,0.9471,1.0288,1.0811,0.9806,1.0064,1.1092,1.0501,1.1071,1.0149,1.0149,1.0447,1.0685
0.9483,1.0326,0.9601,1.0477,0.9643,1.0305,0.997,1.0003,0.9559,1.0091,1.0217,0.9693,1.0196,1.0364,0.9307,1.0288,1.0108,1.0163,1.0465,1.0276,1.0372,0.9408,0.94,0.651,1.0305,0.9819,0.9391,0.9542,1.0154,1.0339,1.033,1.023,1.0351,0.9391,1.0096,1.0259,1.0079,1.0024,0.9047
