CaseName,Fuel Temperature,Moderator Temperature,Moderator Density,Library Type,Library,ASSBLY GEOM,Theoretical Keff,Simulated Keff,error in PCM
Test2A,565.0,565.0,0.743,DLIB,DLIB_295,NP,1.182733,1.181775E+00,-80.9988391294
Test2B,600.0,600.0,0.661,DLIB,DLIB_295,NP,1.184033,1.182702E+00,-112.412407424
Test2C,900.0,600.0,0.661,DLIB,DLIB_295,NP,1.174434,1.172950E+00,-126.358739614
Test2D,1200.0,600.0,0.661,DLIB,DLIB_295,NP,1.1661370,1.164717E+00,-121.769569099
Test2E,600.0,600.0,0.743,DLIB,DLIB_295,12P,1.070441,1.174702E+00,9740.00435335
Test2G,600.0,600.0,0.743,DLIB,DLIB_295,AIC,0.849236,8.349227E-01,-1685.4325535
Test2H,600.0,600.0,0.743,DLIB,DLIB_295,B4C,0.789746,7.834394E-01,-798.560549848
Test2I,600.0,600.0,0.743,DLIB,DLIB_295,IT,1.180561,1.179520E+00,-88.1784168713
Test2O,600.0,600.0,0.743,DLIB,DLIB_295,12G,1.048367,1.043611E+00,-453.657927043
Test2P,600.0,600.0,0.743,DLIB,DLIB_295,24G,0.927999,9.280698E-01,7.62931856607
