CaseName,Fuel Temperature,Moderator Temperature,Moderator Density,Library Type,Library,ASSBLY GEOM,Theoretical Keff,Simulated Keff,error in PCM
Test2A,565.0,565.0,0.743,DLIB,DLIB_J2,NP,1.182733,1.184018E+00,108.646668352
Test2B,600.0,600.0,0.661,DLIB,DLIB_J2,NP,1.184033,1.185544E+00,127.614686415
Test2C,900.0,600.0,0.661,DLIB,DLIB_J2,NP,1.174434,1.176433E+00,170.209649925
Test2D,1200.0,600.0,0.661,DLIB,DLIB_J2,NP,1.1661370,1.168593E+00,210.60990261
Test2E,600.0,600.0,0.743,DLIB,DLIB_J2,12P,1.070441,1.177221E+00,9975.32792559
Test2G,600.0,600.0,0.743,DLIB,DLIB_J2,AIC,0.849236,8.503199E-01,127.632366033
Test2H,600.0,600.0,0.743,DLIB,DLIB_J2,B4C,0.789746,7.878956E-01,-234.303181023
Test2I,600.0,600.0,0.743,DLIB,DLIB_J2,IT,1.180561,1.182065E+00,127.397059534
Test2O,600.0,600.0,0.743,DLIB,DLIB_J2,12G,1.048367,1.046542E+00,-174.080260062
Test2P,600.0,600.0,0.743,DLIB,DLIB_J2,24G,0.927999,9.313540E-01,361.530561994
