CaseName,Fuel Temperature,Moderator Temperature,Moderator Density,Library Type,Library,ASSBLY GEOM,Theoretical Keff,Simulated Keff,error in PCM
Test2A,565.0,565.0,0.743,WIMS,E80_69W,NP,1.182733,6.296752E-01,-46761.0018491
Test2B,600.0,600.0,0.661,WIMS,E80_69W,NP,1.184033,6.071962E-01,-48717.9664756
Test2C,900.0,600.0,0.661,WIMS,E80_69W,NP,1.174434,6.069934E-01,-48316.0909851
Test2D,1200.0,600.0,0.661,WIMS,E80_69W,NP,1.1661370,6.068033E-01,-47964.6645291
Test2E,600.0,600.0,0.743,WIMS,E80_69W,12P,1.070441,6.184481E-01,-42224.9241201
Test2G,600.0,600.0,0.743,WIMS,E80_69W,AIC,0.849236,4.626841E-01,-45517.6064133
Test2H,600.0,600.0,0.743,WIMS,E80_69W,B4C,0.789746,4.363069E-01,-44753.5156873
Test2I,600.0,600.0,0.743,WIMS,E80_69W,IT,1.180561,6.288256E-01,-46735.0183514
Test2O,600.0,600.0,0.743,WIMS,E80_69W,12G,1.048367,5.646177E-01,-46143.1254513
Test2P,600.0,600.0,0.743,WIMS,E80_69W,24G,0.927999,5.093843E-01,-45109.3912817
