CaseName,Fuel Temperature,Moderator Temperature,Moderator Density,Library Type,Library,ASSBLY GEOM,Theoretical Keff,Simulated Keff,error in PCM
Test2A,565.0,565.0,0.743,DLIB,ENDF70_281,NP,1.182733,1.180586E+00,-181.528713581
Test2B,600.0,600.0,0.661,DLIB,ENDF70_281,NP,1.184033,1.181402E+00,-222.206644578
Test2C,900.0,600.0,0.661,DLIB,ENDF70_281,NP,1.174434,1.171660E+00,-236.198883888
Test2D,1200.0,600.0,0.661,DLIB,ENDF70_281,NP,1.1661370,1.163237E+00,-248.684331258
Test2E,600.0,600.0,0.743,DLIB,ENDF70_281,12P,1.070441,1.173145E+00,9594.55028348
Test2G,600.0,600.0,0.743,DLIB,ENDF70_281,AIC,0.849236,8.237603E-01,-2999.837501
Test2H,600.0,600.0,0.743,DLIB,ENDF70_281,B4C,0.789746,7.830607E-01,-846.512676228
Test2I,600.0,600.0,0.743,DLIB,ENDF70_281,IT,1.180561,1.178316E+00,-190.163828892
Test2O,600.0,600.0,0.743,DLIB,ENDF70_281,12G,1.048367,1.042326E+00,-576.229507415
Test2P,600.0,600.0,0.743,DLIB,ENDF70_281,24G,0.927999,9.267624E-01,-133.254453938
