CaseName,Fuel Temperature,Moderator Temperature,Moderator Density,Library Type,Library,ASSBLY GEOM,Theoretical Keff,Simulated Keff,error in PCM
Test2A,565.0,565.0,0.743,WIMS,FAN_REP,NP,1.182733,1.184287E+00,131.39060126
Test2B,600.0,600.0,0.661,WIMS,FAN_REP,NP,1.184033,1.185390E+00,114.608292168
Test2C,900.0,600.0,0.661,WIMS,FAN_REP,NP,1.174434,1.176945E+00,213.80511804
Test2D,1200.0,600.0,0.661,WIMS,FAN_REP,NP,1.1661370,1.169468E+00,285.643968076
Test2E,600.0,600.0,0.743,WIMS,FAN_REP,12P,1.070441,1.176783E+00,9934.41021037
Test2G,600.0,600.0,0.743,WIMS,FAN_REP,AIC,0.849236,8.425340E-01,-789.179921718
Test2H,600.0,600.0,0.743,WIMS,FAN_REP,B4C,0.789746,7.733142E-01,-2080.64364998
Test2I,600.0,600.0,0.743,WIMS,FAN_REP,IT,1.180561,1.182480E+00,162.549838594
Test2O,600.0,600.0,0.743,WIMS,FAN_REP,12G,1.048367,1.043409E+00,-472.925988704
Test2P,600.0,600.0,0.743,WIMS,FAN_REP,24G,0.927999,9.258613E-01,-230.355851677
