CaseName,Fuel Temperature,Moderator Temperature,Moderator Density,Library Type,Library,ASSBLY GEOM,Theoretical Keff,Simulated Keff,error in PCM
Test2A,565.0,565.0,0.743,DLIB,J33_361,NP,1.182733,1.182009E+00,-61.2141539976
Test2B,600.0,600.0,0.661,DLIB,J33_361,NP,1.184033,1.182963E+00,-90.3691028882
Test2C,900.0,600.0,0.661,DLIB,J33_361,NP,1.174434,1.173286E+00,-97.7492136638
Test2D,1200.0,600.0,0.661,DLIB,J33_361,NP,1.1661370,1.164946E+00,-102.132082251
Test2E,600.0,600.0,0.743,DLIB,J33_361,12P,1.070441,1.174858E+00,9754.57778616
Test2G,600.0,600.0,0.743,DLIB,J33_361,AIC,0.849236,8.384150E-01,-1274.20410816
Test2H,600.0,600.0,0.743,DLIB,J33_361,B4C,0.789746,7.854665E-01,-541.883086461
Test2I,600.0,600.0,0.743,DLIB,J33_361,IT,1.180561,1.180000E+00,-47.51978085
Test2O,600.0,600.0,0.743,DLIB,J33_361,12G,1.048367,1.045863E+00,-238.847655449
Test2P,600.0,600.0,0.743,DLIB,J33_361,24G,0.927999,9.314253E-01,369.213759929
