CaseName,Fuel Temperature,Moderator Temperature,Moderator Density,Library Type,Library,ASSBLY GEOM,Theoretical Keff,Simulated Keff,error in PCM
Test2A,565.0,565.0,0.743,WIMS,J411172W,NP,1.182733,1.184251E+00,128.346803547
Test2B,600.0,600.0,0.661,WIMS,J411172W,NP,1.184033,1.185350E+00,111.230007947
Test2C,900.0,600.0,0.661,WIMS,J411172W,NP,1.174434,1.176906E+00,210.484369492
Test2D,1200.0,600.0,0.661,WIMS,J411172W,NP,1.1661370,1.169430E+00,282.385345804
Test2E,600.0,600.0,0.743,WIMS,J411172W,12P,1.070441,1.176746E+00,9930.95369105
Test2G,600.0,600.0,0.743,WIMS,J411172W,AIC,0.849236,8.446337E-01,-541.934162
Test2H,600.0,600.0,0.743,WIMS,J411172W,B4C,0.789746,7.771466E-01,-1595.37370243
Test2I,600.0,600.0,0.743,WIMS,J411172W,IT,1.180561,1.182443E+00,159.4157354
Test2O,600.0,600.0,0.743,WIMS,J411172W,12G,1.048367,1.043378E+00,-475.882968464
Test2P,600.0,600.0,0.743,WIMS,J411172W,24G,0.927999,9.258338E-01,-233.319216939
