CaseName,Fuel Temperature,Moderator Temperature,Moderator Density,Library Type,Library,ASSBLY GEOM,Theoretical Keff,Simulated Keff,error in PCM
Test2A,565.0,565.0,0.743,WIMS,J42_172W,NP,1.182733,1.184256E+00,128.76955323
Test2B,600.0,600.0,0.661,WIMS,J42_172W,NP,1.184033,1.185355E+00,111.652293475
Test2C,900.0,600.0,0.661,WIMS,J42_172W,NP,1.174434,1.176911E+00,210.910106485
Test2D,1200.0,600.0,0.661,WIMS,J42_172W,NP,1.1661370,1.169434E+00,282.728358675
Test2E,600.0,600.0,0.743,WIMS,J42_172W,12P,1.070441,1.176832E+00,9938.98776299
Test2G,600.0,600.0,0.743,WIMS,J42_172W,AIC,0.849236,8.425092E-01,-792.100193586
Test2H,600.0,600.0,0.743,WIMS,J42_172W,B4C,0.789746,7.732919E-01,-2083.46734266
Test2I,600.0,600.0,0.743,WIMS,J42_172W,IT,1.180561,1.182459E+00,160.771023268
Test2O,600.0,600.0,0.743,WIMS,J42_172W,12G,1.048367,1.043381E+00,-475.596809133
Test2P,600.0,600.0,0.743,WIMS,J42_172W,24G,0.927999,9.258358E-01,-233.103699465
